[2021-04-26 14:24:47,629][MainThread:10696][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:24:47,670][MainThread:10696][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:24:47,709][MainThread:10696][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 14:24:47,713][MainThread:10696][task_id:Pytest_fixture][conftest.py:13][INFO][清楚Tmp临时文件]
[2021-04-26 15:39:55,064][MainThread:3300][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 15:39:55,145][MainThread:3300][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 15:39:55,193][MainThread:3300][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 15:39:55,238][MainThread:3300][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 15:39:55,284][MainThread:3300][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 15:39:55,327][MainThread:3300][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 15:39:55,372][MainThread:3300][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 15:39:55,377][MainThread:3300][task_id:Pytest_fixture][conftest.py:13][INFO][清楚Tmp临时文件]
[2021-04-26 15:40:50,087][MainThread:7724][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 15:40:50,160][MainThread:7724][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 15:40:50,207][MainThread:7724][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 15:40:50,249][MainThread:7724][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 15:40:50,295][MainThread:7724][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 15:40:50,337][MainThread:7724][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 15:40:50,378][MainThread:7724][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 15:40:50,382][MainThread:7724][task_id:Pytest_fixture][conftest.py:13][INFO][清楚Tmp临时文件]
[2021-04-26 15:44:26,255][MainThread:12068][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 15:44:26,334][MainThread:12068][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 15:44:26,380][MainThread:12068][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 15:44:26,420][MainThread:12068][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 15:44:26,465][MainThread:12068][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 15:44:26,506][MainThread:12068][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 15:44:26,548][MainThread:12068][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 15:44:26,552][MainThread:12068][task_id:Pytest_fixture][conftest.py:13][INFO][清楚Tmp临时文件]
[2021-04-26 16:21:54,494][MainThread:3300][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 16:21:54,604][MainThread:3300][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 16:21:54,650][MainThread:3300][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 16:21:54,694][MainThread:3300][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 16:21:54,736][MainThread:3300][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 16:21:54,777][MainThread:3300][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 16:21:54,818][MainThread:3300][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 16:21:54,821][MainThread:3300][task_id:Pytest_fixture][conftest.py:13][INFO][清楚Tmp临时文件]
[2021-04-26 16:24:23,437][MainThread:3248][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:203][INFO][Starting new HTTP connection (1): 47.115.122.235]
[2021-04-26 16:24:23,513][MainThread:3248][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 16:24:23,558][MainThread:3248][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 16:24:23,599][MainThread:3248][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
[2021-04-26 16:24:23,644][MainThread:3248][task_id:requests.packages.urllib3.connectionpool][connectionpool.py:383][DEBUG]["POST /thirdPartyLogin HTTP/1.1" 200 None]
